dataset,model_name,train_loss,valid_loss,accuracy
UWaveGestureLibrary,xresnet1d18_deeperplus,1.2956461906433105,1.987845778465271,0.17812499403953552
UWaveGestureLibrary,xresnet1d34_deeperplus,1.3090078830718994,1.9970041513442993,0.2750000059604645
UWaveGestureLibrary,xresnet1d50_deeperplus,0.6479287147521973,2.133423328399658,0.17499999701976776
UWaveGestureLibrary,XceptionTime,1.8001588582992554,1.9583123922348022,0.4468750059604645
UWaveGestureLibrary,XceptionTimePlus,1.7806148529052734,1.9344749450683594,0.3125
UWaveGestureLibrary,mWDN,1.2152302265167236,2.0464155673980713,0.22812500596046448
UWaveGestureLibrary,mWDNPlus,1.2386677265167236,2.050894021987915,0.1875
UWaveGestureLibrary,TSSequencer,1.792719841003418,1.580714225769043,0.706250011920929
UWaveGestureLibrary,TSSequencerPlus,1.7373450994491577,1.518397331237793,0.778124988079071
UWaveGestureLibrary,ConvTran,2.076216459274292,2.087366819381714,0.12187500298023224
UWaveGestureLibrary,ConvTranPlus,2.107240915298462,2.0631346702575684,0.21562500298023224
UWaveGestureLibrary,RNNAttention,0.4326784908771515,0.7402151226997375,0.7875000238418579
UWaveGestureLibrary,LSTMAttention,0.41656070947647095,1.1484125852584839,0.78125
UWaveGestureLibrary,GRUAttention,0.5582541823387146,0.7545941472053528,0.78125
UWaveGestureLibrary,TransformerRNNPlus,2.022247552871704,2.002683401107788,0.2906250059604645
UWaveGestureLibrary,TransformerLSTMPlus,2.0793776512145996,2.038964033126831,0.296875
UWaveGestureLibrary,TransformerGRUPlus,2.0684027671813965,2.025325059890747,0.17499999701976776
UWaveGestureLibrary,Hydra,0.5689143538475037,0.4857179522514343,0.8500000238418579
UWaveGestureLibrary,HydraPlus,0.5492068529129028,0.5800400972366333,0.8374999761581421
UWaveGestureLibrary,HydraMultiRocket,0.4302137494087219,0.5981644988059998,0.8500000238418579
UWaveGestureLibrary,HydraMultiRocketPlus,0.4060288667678833,0.5769844651222229,0.8812500238418579
