dataset,model_name,train_loss,valid_loss,accuracy
Handwriting,TSSequencer,3.1475114822387695,3.3697667121887207,0.0658823549747467
Handwriting,TSSequencerPlus,3.201197862625122,3.3371851444244385,0.0694117620587349
Handwriting,ConvTran,3.245511293411255,3.338477373123169,0.038823530077934265
Handwriting,ConvTranPlus,3.3202028274536133,3.308312177658081,0.034117646515369415
Handwriting,RNNAttention,1.0998479127883911,3.047827959060669,0.2199999988079071
Handwriting,LSTMAttention,1.1626486778259277,3.1198713779449463,0.23764705657958984
Handwriting,GRUAttention,1.1088230609893799,3.0043702125549316,0.2329411804676056
Handwriting,TransformerRNNPlus,3.234020471572876,3.371593475341797,0.05529411882162094
Handwriting,TransformerLSTMPlus,3.2198386192321777,3.32214093208313,0.0376470573246479
Handwriting,TransformerGRUPlus,3.233372211456299,3.3710267543792725,0.0376470573246479
